,filename,snippet rating
0,snippet1,3.2333333333333334
1,snippet2,2.087719298245614
2,snippet3,7.721311475409836
3,snippet4,6.866666666666666
4,snippet5,6.642857142857143
5,snippet6,5.236363636363636
6,snippet7,5.962962962962963
7,snippet8,6.566037735849057
8,snippet9,5.769230769230769
9,snippet10,6.538461538461538
10,snippet11,6.42
11,snippet12,6.68
12,snippet13,6.680851063829787
13,snippet14,6.446808510638298
14,snippet15,6.446808510638298
15,snippet16,5.760869565217392
16,snippet17,5.021739130434782
17,snippet18,6.913043478260869
18,snippet19,6.159090909090909
19,snippet20,6.714285714285714
20,snippet21,5.071428571428571
21,snippet22,5.775
22,snippet23,7.051282051282051
23,snippet24,5.948717948717949
24,snippet25,3.7948717948717947
25,snippet26,6.684210526315789
26,snippet27,7.166666666666667
27,snippet28,5.888888888888889
28,snippet29,5.305555555555555
29,snippet30,4.323529411764706
30,snippet31,3.6285714285714286
31,snippet32,6.114285714285714
32,snippet33,6.628571428571429
33,snippet34,6.205882352941177
34,snippet35,6.485714285714286
35,snippet36,5.828571428571428
36,snippet37,5.485714285714286
37,snippet38,4.914285714285715
38,snippet39,6.371428571428571
39,snippet40,3.8285714285714287
40,snippet41,6.0285714285714285
41,snippet42,5.257142857142857
42,snippet43,7.382352941176471
43,snippet44,4.96969696969697
44,snippet45,6.735294117647059
45,snippet46,4.911764705882353
46,snippet47,5.470588235294118
47,snippet48,6.029411764705882
48,snippet49,3.735294117647059
49,snippet50,5.882352941176471
50,snippet51,6.575757575757576
51,snippet52,5.625
52,snippet53,5.9375
53,snippet54,6.0625
54,snippet55,6.59375
55,snippet56,5.96875
56,snippet57,5.65625
57,snippet58,7.34375
58,snippet59,4.15625
59,snippet60,5.5625
60,snippet61,6.03125
61,snippet62,6.09375
62,snippet63,6.78125
63,snippet64,7.3125
64,snippet65,6.21875
65,snippet66,5.5
66,snippet67,5.625
67,snippet68,5.125
68,snippet69,5.8125
69,snippet70,6.5
70,snippet71,6.75
71,snippet72,7.0
72,snippet73,7.0625
73,snippet74,2.90625
74,snippet75,6.0
75,snippet76,5.59375
76,snippet77,4.59375
77,snippet78,6.5625
78,snippet79,6.96875
79,snippet80,5.53125
80,snippet81,6.875
81,snippet82,6.0625
82,snippet83,6.21875
83,snippet84,7.125
84,snippet85,4.6875
85,snippet86,6.28125
86,snippet87,6.03125
87,snippet88,5.125
88,snippet89,5.78125
89,snippet90,4.5625
90,snippet91,6.46875
91,snippet92,4.0625
92,snippet93,5.53125
93,snippet94,6.25
94,snippet95,6.65625
95,snippet96,5.40625
96,snippet97,6.125
97,snippet98,6.96875
98,snippet99,5.375
99,snippet100,5.806451612903226
