,doi,filename,year,readability_score
0,doi:10.7910/DVN/WCTILJ,Script.R,2020,6.053856733743153
1,doi:10.7910/DVN/O3ETO9,jose-galdino-script-tf-ad-ufpe-2018.R,2019,6.274306095859632
2,doi:10.7910/DVN/TKTN5J,0_Run It All.R,2017,6.726643079791821
3,doi:10.7910/DVN/TKTN5J,1_Prep the data.R,2017,5.907666281151617
4,doi:10.7910/DVN/TKTN5J,2_Run eBal.R,2017,5.659894658890253
5,doi:10.7910/DVN/TKTN5J,3_NonExp Regressions.R,2017,5.095145387700535
6,doi:10.7910/DVN/TKTN5J,4_Exp Regressions.R,2017,5.1044810721544716
7,doi:10.7910/DVN/TKTN5J,5_Make coefficient graph.R,2017,5.006282184591008
8,doi:10.7910/DVN/TKTN5J,6_Make effects graphs.R,2017,5.675677965719774
9,doi:10.7910/DVN/TKTN5J,7_LR dependence.R,2017,6.312745713712507
10,doi:10.7910/DVN/TKTN5J,AP - Multigrid.R,2017,6.35018058259372
11,doi:10.7910/DVN/TKTN5J,x_Auxiliary Functions.R,2017,5.994139567866952
12,doi:10.7910/DVN/KKS1R0,ADW_positions_master.r,2016,6.873361577615593
13,doi:10.7910/DVN/KKS1R0,as_mcmc.R,2016,6.080721182613622
14,doi:10.7910/DVN/KKS1R0,data_bayes_out.R,2016,6.2468456514736
15,doi:10.7910/DVN/KKS1R0,data_management_textfiles.R,2016,6.389377904589352
16,doi:10.7910/DVN/KKS1R0,ep_idealpoints_and_errors_bayes80.R,2016,5.810166789642763
17,doi:10.7910/DVN/KKS1R0,ep_jags_functions.R,2016,6.358105171664494
18,doi:10.7910/DVN/KKS1R0,plots_positions_bayes.R,2016,6.007573804315115
19,doi:10.7910/DVN/KKS1R0,posteriorchecks.R,2016,6.949657404568093
20,doi:10.7910/DVN/KKS1R0,prepare_data_set.R,2016,6.063544891640865
21,doi:10.7910/DVN/KKS1R0,preparing_speeches_file.R,2016,5.014583333333333
22,doi:10.7910/DVN/KKS1R0,preparing_speeches_function.R,2016,4.909090909090909
23,doi:10.7910/DVN/KKS1R0,save_data_bayes.R,2016,5.578516860186231
24,doi:10.7910/DVN/KKS1R0,wfm_filter.R,2016,5.930190532944771
25,doi:10.7910/DVN/QKP9EJ,code2.R,2017,5.747550734868093
26,doi:10.7910/DVN/QKP9EJ,code3.R,2017,6.098513739085772
27,doi:10.7910/DVN/QKP9EJ,code5.R,2017,5.92086304404219
28,doi:10.7910/DVN/QKP9EJ,code7.R,2017,5.92086304404219
29,doi:10.7910/DVN/QKP9EJ,code8.R,2017,6.021952276209947
30,doi:10.7910/DVN/QKP9EJ,fine_grid.R,2017,5.617616959064328
31,doi:10.7910/DVN/QKP9EJ,summarySE.R,2017,6.13219065659114
32,doi:10.7910/DVN/15YF0R,BDD_WD2018_replication.R,2018,4.904265309343435
33,doi:10.7910/DVN/15YF0R,BDD_WD2018_replication_SI.R,2018,5.675677965719774
34,doi:10.7910/DVN/15YF0R,inter.binning.90.R,2018,5.323529411764706
35,doi:10.7910/DVN/15YF0R,multiplot.R,2018,6.373949392403658
36,doi:10.7910/DVN/15YF0R,ols.R,2018,5.564162457912458
37,doi:10.7910/DVN/15YF0R,outcome_var_mean_imp_setup.R,2018,4.554346561471966
38,doi:10.7910/DVN/15YF0R,outcome_var_setup.R,2018,4.558244683139714
39,doi:10.7910/DVN/XRBKEY,josematheus-medeiros-script-tf-ad-ufpe-2018.R,2019,6.666023217754978
40,doi:10.7910/DVN/CT9AFP,EATI_replication.R,2016,3.787878787878788
41,doi:10.7910/DVN/YM7IWP,01_itanes.R,2016,6.091378651020907
42,doi:10.7910/DVN/IJKAUR,water_energy_replication_code.R,2018,5.856337001463031
43,doi:10.7910/DVN/XRR0HM,lda_analysis.R,2017,6.156391214779372
44,doi:10.7910/DVN/XRR0HM,preprocess_data_and_generate_pretext_results.R,2017,6.620744566539615
45,doi:10.7910/DVN/XRR0HM,wordfish_analysis.R,2017,6.355936679797983
46,doi:10.7910/DVN/XRR0HM,wordfish_model_averaging.R,2017,6.129326682070558
47,doi:10.7910/DVN/XRR0HM,wordfish_rank_plot_apriori_ordering.R,2017,5.269127941267771
48,doi:10.7910/DVN/HXNVTQ,usa-decomp-plots.R,2017,6.039354183951643
49,doi:10.7910/DVN/SNQG8P,naes_ft.r,2017,5.948659917763737
50,doi:10.7910/DVN/FAH6KL,Visconti (2018) - LegislativeRepresentation.R,2018,6.514163717918413
51,doi:10.7910/DVN/WCXK3Z,collect-data.r,2015,6.7470500930686415
