ID,qualityrating,helpfulrating,friendlyrating,dearjake,answer,days
1,75,75,75,0,1,24
2,39,96,70,0,0,29
3,13,24,25,0,0,23
4,42,89,82,0,1,24
5,89,86,88,1,0,17
6,57,85,51,1,0,29
7,43,40,41,0,0,29
8,32,48,42,0,1,12
9,26,4,26,0,0,15
10,50,60,43,1,1,18
11,52,62,51,0,1,29
12,50,74,54,1,0,26
13,38,10,51,1,1,19
14,27,26,29,0,1,10
15,38,67,32,0,1,20
16,74,76,62,0,1,25
17,88,85,86,1,0,13
18,74,87,66,1,1,9
19,16,15,17,1,1,20
20,53,51,76,1,1,8
21,2,15,2,1,0,10
22,95,97,99,1,1,14
23,52,51,52,1,0,7
24,51,87,83,1,0,30
25,39,89,70,0,0,29
26,46,32,50,1,1,13
27,56,65,75,1,0,25
28,50,50,25,0,1,20
29,72,85,51,1,0,15
30,26,26,27,0,1,1
31,70,86,77,0,0,17
32,50,56,45,1,1,6
33,43,50,48,1,1,16
34,51,77,51,1,0,16
35,27,26,6,0,1,18
36,51,51,51,0,1,26
37,96,94,93,1,0,4
38,17,26,50,1,1,25
39,54,61,57,1,0,3
40,64,89,86,1,1,17
41,14,14,10,1,1,28
42,51,57,51,1,1,17
43,18,15,20,0,0,11
44,45,54,34,1,1,10
45,51,51,8,0,0,3
46,49,100,49,0,1,21
47,57,65,51,1,1,22
48,2,1,2,0,1,13
49,54,86,45,0,1,23
50,31,75,3,1,1,6
51,36,56,24,0,1,2
52,50,50,50,1,1,20
53,1,1,1,1,1,13
54,4,5,3,0,1,21
55,50,69,51,0,1,21
56,75,89,50,0,1,19
57,51,76,51,0,0,10
58,100,100,100,0,0,1
59,0,0,0,1,0,26
60,76,99,52,0,0,14
61,39,40,30,1,0,7
62,49,74,76,0,0,16
63,75,82,75,1,0,20
64,47,64,49,0,0,4
65,96,99,89,0,0,17
66,70,69,66,0,1,7
67,55,76,79,0,1,16
68,51,62,51,1,0,18
69,3,4,1,0,1,8
70,52,58,54,0,0,27
71,7,19,12,1,0,2
72,63,85,76,1,0,21
73,98,100,67,1,0,22
74,50,51,50,0,1,24
75,95,98,96,1,0,11
76,51,95,51,0,0,10
77,51,51,2,1,1,16
78,51,49,52,0,0,25
79,28,26,27,0,1,19
80,51,41,50,0,0,1
81,51,50,51,0,1,19
82,28,60,23,0,1,30
83,59,71,48,0,0,27
84,44,57,41,1,0,27
85,6,13,50,0,1,30
86,76,76,45,1,0,29
87,58,52,65,1,1,21
88,78,96,77,1,0,19
89,99,99,100,0,1,7
90,56,47,58,0,0,5
91,39,89,27,0,1,10
92,91,99,77,0,0,10
93,31,68,48,0,0,25
94,25,52,32,0,0,29
95,48,46,57,0,0,27
96,60,76,83,1,0,18
97,50,76,26,1,0,16
98,91,92,68,1,1,17
99,94,96,53,1,0,20
100,72,76,75,1,1,5
101,26,25,18,0,1,25
102,57,55,56,1,1,29
103,25,52,25,1,1,28
104,14,16,16,1,0,19
105,99,99,76,0,0,9
106,52,54,48,1,1,1
107,50,51,50,1,1,2
108,50,46,52,0,1,1
109,71,70,50,0,1,25
110,41,38,52,1,1,25
111,90,90,50,0,0,3
112,39,52,38,1,1,23
113,14,26,18,0,0,28
114,62,86,53,1,1,28
115,7,6,3,0,1,28
116,8,16,41,0,0,9
117,3,3,4,1,1,27
118,80,99,76,1,1,25
119,4,3,4,0,1,2
120,35,40,50,1,0,7
121,50,51,51,0,1,20
122,51,76,76,0,0,26
123,54,42,43,1,0,8
124,88,88,88,1,0,1
125,19,11,51,0,0,21
126,48,53,54,0,1,14
127,81,81,80,1,1,1
128,77,85,53,1,0,1
129,52,97,28,1,1,26
130,50,9,9,0,0,8
131,38,53,27,0,0,14
132,25,12,38,0,0,27
133,100,100,51,1,0,2
134,51,50,50,0,1,18
135,64,76,68,0,0,8
136,1,38,27,1,0,26
137,47,36,69,1,0,12
138,93,98,98,1,0,11
139,35,75,62,0,1,16
140,76,99,51,0,1,7
141,25,53,38,0,0,30
142,51,54,51,0,0,7
143,16,40,53,1,1,2
144,77,66,75,0,0,21
145,NA,NA,NA,1,1,3
146,21,24,25,1,0,25
147,14,22,25,0,1,8
148,51,51,51,1,0,21
149,53,59,51,1,0,14
150,95,98,99,1,0,9
151,64,55,73,0,0,12
152,25,1,47,1,0,25
153,70,92,76,1,1,15
154,39,50,38,1,1,2
155,51,51,42,0,0,14
156,28,52,15,0,0,15
157,100,100,100,1,0,2
158,97,97,95,1,1,5
159,54,56,52,0,0,28
160,65,76,51,0,0,1
161,52,42,51,1,0,13
162,0,1,2,0,0,7
163,50,49,50,0,1,11
164,17,26,51,1,1,9
165,53,50,50,0,1,12
166,50,51,51,1,0,5
167,50,99,51,0,1,29
168,4,3,26,1,0,22
169,47,50,35,1,1,8
170,1,1,2,1,0,2
171,76,76,76,1,0,26
172,36,52,25,0,0,21
173,95,94,82,1,0,3
174,51,52,25,1,1,5
175,64,88,60,0,0,3
176,57,54,52,0,1,22
177,0,0,0,0,1,9
178,75,100,75,0,1,3
179,NA,53,50,1,1,9
180,86,98,34,1,0,6
181,83,84,77,1,0,9
182,26,50,0,0,1,3
183,64,97,79,1,1,29
184,73,90,79,1,0,6
185,14,18,6,0,1,4
186,69,87,38,1,0,25
187,61,54,68,1,0,27
188,67,74,64,1,0,15
189,57,56,51,1,0,14
190,25,50,36,0,1,11
191,42,63,26,1,0,8
192,98,99,98,0,1,12
193,85,98,85,1,1,13
194,3,8,6,0,1,11
195,51,51,52,0,1,29
196,77,77,77,1,1,2
197,74,95,75,1,0,9
198,30,66,29,1,0,30
199,95,93,93,1,0,18
200,81,85,81,1,0,17
201,51,63,51,0,0,2
202,98,98,98,1,0,5
203,NA,NA,NA,0,0,29
204,51,58,39,0,1,14
205,36,51,38,1,1,8
206,49,41,27,1,1,1
207,57,76,76,0,1,23
208,22,15,12,0,1,17
209,56,54,55,0,0,2
210,57,66,44,0,1,27
211,15,0,0,0,1,19
212,63,85,76,1,1,16
213,54,51,40,1,1,15
214,52,52,55,1,1,8
215,53,51,51,1,0,30
216,51,50,50,0,1,13
217,42,32,51,1,1,10
218,100,98,92,1,1,4
219,52,72,36,0,1,1
220,56,87,58,1,0,17
221,51,76,76,0,0,11
222,25,25,26,1,0,18
223,51,86,51,0,1,15
224,24,18,18,0,1,4
225,0,1,12,0,0,14
226,50,50,50,0,0,2
227,25,29,16,0,0,20
228,0,0,0,0,0,4
229,77,92,76,0,1,11
230,75,75,75,1,0,28
231,44,62,24,0,1,25
232,51,51,49,0,0,24
233,89,88,77,1,1,4
234,6,51,51,0,1,5
235,74,73,75,1,1,2
236,60,65,62,1,1,28
237,52,51,52,0,1,16
238,NA,NA,NA,0,1,5
239,52,85,39,1,1,8
240,20,26,25,1,1,13
241,87,85,58,1,0,3
242,70,76,70,1,1,1
243,98,96,99,1,1,28
244,92,99,93,1,0,10
245,23,29,22,0,0,26
